t,p
0.1,0.068389872
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0.013496981
0.7,0.014899339
0.8,0.043937469
0.9,0
1,0.085164784
1.1,0
1.2,0
1.3,0.020978845
1.4,0.139813445
1.5,0.013617188
1.6,0
1.7,0
1.8,0
1.9,0.143123174
2,0
2.1,0.019177556
2.2,0.055396142
2.3,0
2.4,0.180656681
2.5,0.034791612
2.6,0
2.7,0
2.8,0.122315279
2.9,0.197830866
3,0.053086768
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0.079669752
3.6,0.009872867
3.7,0.150559844
3.8,0
3.9,0.148937153
4,0.078968378
4.1,0.104321764
4.2,0.047364809
4.3,0.063619898
4.4,0.047941402
4.5,0.023307247
4.6,0.232904084
4.7,0
4.8,0
4.9,0.087439294
5,0
5.1,0
5.2,0.051410426
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0.083955193
6,0.084499994
6.1,0.13331652
6.2,0.115687214
6.3,0.170121252
6.4,0.110848644
6.5,0.157481559
6.6,0
6.7,0.096937035
6.8,0
6.9,0.179369283
7,0
7.1,0.064619445
7.2,0
7.3,0.055235022
7.4,0.112377457
7.5,0.029786797
7.6,0
7.7,0.018803195
7.8,0.304580392
7.9,0.03308683
8,0.120262912
8.1,0.008363074
8.2,0.036327701
8.3,0.05012242
8.4,0.054670792
8.5,0.130284535
8.6,0
8.7,0.198247589
8.8,0.264318536
8.9,0
9,0.1145068
9.1,0.027429267
9.2,0
9.3,0.030675684
9.4,0.128586098
9.5,0.184758102
9.6,0.06213088
9.7,0.261068543
9.8,0
9.9,0.002410214
10,0
10.1,0.040056654
10.2,0
10.3,0
10.4,0.036067175
10.5,0
10.6,0.095580724
10.7,0.021500498
10.8,0
10.9,0
11,0.08526005
11.1,0.005058943
11.2,0
11.3,0
11.4,0.131515983
11.5,0.012081557
11.6,0
11.7,0.004957192
11.8,0
11.9,0
12,0.054974116
12.1,0
12.2,0.043923369
12.3,0
12.4,0
12.5,0.080082448
12.6,0
12.7,0
12.8,0.079869403
12.9,0
13,0.018049651
13.1,0.018672422
13.2,0.067109635
13.3,0
13.4,0
13.5,0.040527012
13.6,0
13.7,0.099274397
13.8,0
13.9,0
14,0.120493136
14.1,0.028418895
14.2,0.080035654
14.3,0
14.4,0.088473568
14.5,0.268937173
14.6,0
14.7,0
14.8,0
14.9,0
15,0
15.1,0.034705483
15.2,0.052002057
15.3,0
15.4,0.010986024
15.5,0.108583405
15.6,0.023631667
15.7,0
15.8,0.046082786
15.9,0
16,0.01387844
16.1,0
16.2,0.099960426
16.3,0
16.4,0
16.5,0
16.6,0.134391341
16.7,0
16.8,0
16.9,0.056013029
17,0
17.1,0
17.2,0
17.3,0.113464753
17.4,0.077686936
17.5,0.051146342
17.6,0
17.7,0.151584499
17.8,0
17.9,0.026716686
18,0.17903492
18.1,0.015162835
18.2,0.058141609
18.3,0.068391323
18.4,0.039539609
18.5,0.057551916
18.6,0
18.7,0.045289144
18.8,0.0486765
18.9,0
19,0.061972343
19.1,0
19.2,0
19.3,0.03265693
19.4,0
19.5,0
19.6,0.118323519
19.7,0.120920449
19.8,0
19.9,0.054235999
20,0
20.1,0
20.2,0
20.3,0.043198546
20.4,0
20.5,0
20.6,0
20.7,0
20.8,0.083233524
20.9,0
21,0
21.1,0.060045665
21.2,0.023496633
21.3,0
21.4,0
21.5,0.006724939
21.6,0.140503162
21.7,0.476486291
21.8,0
21.9,0
22,0
22.1,0.03429229
22.2,0
22.3,0
22.4,0.050426687
22.5,0.041210187
22.6,0
22.7,0
22.8,0
22.9,0
23,0
23.1,0
23.2,0.082815045
23.3,0.16084437
23.4,0
23.5,0.08523028
23.6,0
23.7,0
23.8,0
23.9,0
24,0.135176203
24.1,0.013629479
24.2,0.086580847
24.3,0
24.4,0.04994035
24.5,0
24.6,0
24.7,0.193517418
24.8,0
24.9,0
25,0
25.1,0
25.2,0.085611485
25.3,0.201394982
25.4,0
25.5,0
25.6,0
25.7,0
25.8,0
25.9,0
26,0.033036307
26.1,0
26.2,0
26.3,0
26.4,0.098475096
26.5,0.141348451
26.6,0
26.7,0
26.8,0
26.9,0.060859099
27,0
27.1,0
27.2,0
27.3,0.093568723
